repo,commit,url,time,cmd,summary,changed,missing,exts,langs,missing change?,reason
freeCodeCamp/freeCodeCamp,788c621e,https://github.com/freeCodeCamp/freeCodeCamp/commit/788c621ea040a210892cd8cbaaa4b3aad343b89b,5.17,iccheck -r ./repos/freeCodeCamp/freeCodeCamp --from 788c621e^ --to 788c621e,"1 chunks changed, 10 chunks missing change",https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/english/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10,"https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/arabic/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/chinese-traditional/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/chinese/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/espanol/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/german/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/italian/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/japanese/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/portuguese/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/swahili/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10, https://github.com/freeCodeCamp/freeCodeCamp/blob/788c621ea040a210892cd8cbaaa4b3aad343b89b/curriculum/challenges/ukrainian/15-javascript-algorithms-and-data-structures-22/learn-recursion-by-building-a-decimal-to-binary-converter/64646577f28ade99100a55c3.md#L10",.md,,,
exacity/deeplearningbook-chinese,7d75862,https://github.com/exacity/deeplearningbook-chinese/commit/7d7586203ce7c2a5935f6e447249d7655baa8807,0.3,iccheck -r ./repos/exacity/deeplearningbook-chinese --from 7d75862^ --to 7d75862,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/7d7586203ce7c2a5935f6e447249d7655baa8807/Chapter9/convolutional_networks.tex#L1099,https://github.com/exacity/deeplearningbook-chinese/blob/7d7586203ce7c2a5935f6e447249d7655baa8807/docs/_posts/2016-12-09-Chapter9_convolutional_networks.md#L1084,".md, .tex",TeX,,
Solido/awesome-flutter,e210225,https://github.com/Solido/awesome-flutter/commit/e210225f7ae7eed9325ca6bc53191545ae3604ea,0.2,iccheck -r ./repos/Solido/awesome-flutter --from e210225^ --to e210225,"1 chunks changed, 2 chunks missing change",https://github.com/Solido/awesome-flutter/blob/e210225f7ae7eed9325ca6bc53191545ae3604ea/README.md#L522-L523,"https://github.com/Solido/awesome-flutter/blob/e210225f7ae7eed9325ca6bc53191545ae3604ea/regen.md#L527-L528, https://github.com/Solido/awesome-flutter/blob/e210225f7ae7eed9325ca6bc53191545ae3604ea/source.md#L524-L525",.md,,,
AlDanial/cloc,bf0ddd1,https://github.com/AlDanial/cloc/commit/bf0ddd15c0dee5eb9e85db1cfeeda9d88f0a79c0,0.32,iccheck -r ./repos/AlDanial/cloc --from bf0ddd1^ --to bf0ddd1,"1 chunks changed, 1 chunks missing change",https://github.com/AlDanial/cloc/blob/bf0ddd15c0dee5eb9e85db1cfeeda9d88f0a79c0/cloc#L5139,https://github.com/AlDanial/cloc/blob/bf0ddd15c0dee5eb9e85db1cfeeda9d88f0a79c0/Unix/cloc#L5124,cloc,,,
trekhleb/javascript-algorithms,9ef6650,https://github.com/trekhleb/javascript-algorithms/commit/9ef6650207338c41eccb0e303b865ac8c3ff3e2b,0.07,iccheck -r ./repos/trekhleb/javascript-algorithms --from 9ef6650^ --to 9ef6650,"1 chunks changed, 4 chunks missing change",https://github.com/trekhleb/javascript-algorithms/blob/9ef6650207338c41eccb0e303b865ac8c3ff3e2b/src/data-structures/hash-table/README.md#L32,"https://github.com/trekhleb/javascript-algorithms/blob/9ef6650207338c41eccb0e303b865ac8c3ff3e2b/src/data-structures/hash-table/README.pt-BR.md#L22, https://github.com/trekhleb/javascript-algorithms/blob/9ef6650207338c41eccb0e303b865ac8c3ff3e2b/src/data-structures/hash-table/README.fr-FR.md#L26, https://github.com/trekhleb/javascript-algorithms/blob/9ef6650207338c41eccb0e303b865ac8c3ff3e2b/src/data-structures/hash-table/README.zh-CN.md#L20, https://github.com/trekhleb/javascript-algorithms/blob/9ef6650207338c41eccb0e303b865ac8c3ff3e2b/src/data-structures/hash-table/README.ja-JP.md#L13",.md,,,
PostgREST/postgrest,daa77d1,https://github.com/PostgREST/postgrest/commit/daa77d17aad02cd8e99cc71de9ece47aa35be0bc,1.31,iccheck -r ./repos/PostgREST/postgrest --from daa77d1^ --to daa77d1,"1 chunks changed, 1 chunks missing change",https://github.com/PostgREST/postgrest/blob/daa77d17aad02cd8e99cc71de9ece47aa35be0bc/test/spec/Feature/OpenApi/OpenApiSpec.hs#L283,https://github.com/PostgREST/postgrest/blob/daa77d17aad02cd8e99cc71de9ece47aa35be0bc/test/spec/Feature/OpenApi/OpenApiSpec.hs#L249,.hs,Haskell,,
microsoft/PowerToys,e3f5fba,https://github.com/microsoft/PowerToys/commit/e3f5fba870039eeb98483852b9e2d9591809541a,0.9,iccheck -r ./repos/microsoft/PowerToys --from e3f5fba^ --to e3f5fba,"1 chunks changed, 1 chunks missing change",https://github.com/microsoft/PowerToys/blob/e3f5fba870039eeb98483852b9e2d9591809541a/src/modules/launcher/Wox.Plugin/Common/Win32/NativeMethods.cs#L84-L86,https://github.com/microsoft/PowerToys/blob/e3f5fba870039eeb98483852b9e2d9591809541a/src/modules/launcher/Wox.Plugin/Common/Win32/NativeMethods.cs#L39-L41,.cs,C#,,
mastodon/mastodon,caeae25,https://github.com/mastodon/mastodon/commit/caeae25b558e733d887b0f7cf6420a28d331068e,6.48,iccheck -r ./repos/mastodon/mastodon --from caeae25^ --to caeae25,"1 chunks changed, 1 chunks missing change",https://github.com/mastodon/mastodon/blob/caeae25b558e733d887b0f7cf6420a28d331068e/app/javascript/mastodon/locales/fi.json#L33,https://github.com/mastodon/mastodon/blob/caeae25b558e733d887b0f7cf6420a28d331068e/app/javascript/mastodon/locales/et.json#L33,.json,,,
electron/electron,5773a2d,https://github.com/electron/electron/commit/5773a2dce6fbcad34dc4f94a9c41b100fcd3cbaf,0.28,iccheck -r ./repos/electron/electron --from 5773a2d^ --to 5773a2d,"1 chunks changed, 1 chunks missing change",https://github.com/electron/electron/blob/5773a2dce6fbcad34dc4f94a9c41b100fcd3cbaf/shell/browser/electron_browser_main_parts.h#L161,https://github.com/electron/electron/blob/5773a2dce6fbcad34dc4f94a9c41b100fcd3cbaf/shell/services/node/node_service.h#L75,.h,Objective-C,,
Alamofire/Alamofire,dcb6567,https://github.com/Alamofire/Alamofire/commit/dcb6567ae2734c33e4620be26184ab9f3515edc5,0.34,iccheck -r ./repos/Alamofire/Alamofire --from dcb6567^ --to dcb6567,"3 chunks changed, 4 chunks missing change","https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L60, https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L100, https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L174","https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L206, https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L128, https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L156, https://github.com/Alamofire/Alamofire/blob/dcb6567ae2734c33e4620be26184ab9f3515edc5/.github/workflows/ci.yml#L72",.yml,,,
tonsky/FiraCode,aa9ea3d,https://github.com/tonsky/FiraCode/commit/aa9ea3dedee6ae8522df6ea06e335f791485966c,8.28,iccheck -r ./repos/tonsky/FiraCode --from aa9ea3d^ --to aa9ea3d,"54 chunks changed, 73 chunks missing change","https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L16704, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L16724, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43849, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43864, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44576, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44590, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44613, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44627, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44649, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44663, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44686, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44700, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44723, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44737, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44760, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44774, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44863, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44877, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44900, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44914, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44937, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44951, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44974, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44988, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45011, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45025, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45048, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45062, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45085, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45099, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45122, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45136, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45538, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45552, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45680, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45694, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45717, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45731, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45754, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45768, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45791, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45805, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45961, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45975, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46243, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46257, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46554, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46568, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46772, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46786, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46809, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46823, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L77260, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L77295","https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46666, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43920, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43899, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43934, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44004, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L29859, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L29874, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L26364, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43885, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46681, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43990, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L26379, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L69568, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L69553, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L3840, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L69720, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L69705, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44074, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L119164, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L119199, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L113323, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L113303, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L38172, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L39443, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L39428, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L36977, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L36962, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L3855, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46751, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L119121, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L119086, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44060, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L40585, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46280, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44039, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46644, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43969, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L40600, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46630, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45610, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L28819, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L43955, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45645, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46365, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L27774, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44025, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46702, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45624, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L27749, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46716, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44109, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46737, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46330, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45589, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L38208, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45659, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L28834, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46316, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L44095, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46400, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46351, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46138, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45575, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46103, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46047, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L45998, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46082, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46152, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46033, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46117, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46068, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L46294, https://github.com/tonsky/FiraCode/blob/aa9ea3dedee6ae8522df6ea06e335f791485966c/FiraCode.glyphs#L24576",.glyphs,,,
Gamua/Starling-Framework,c424dec,https://github.com/Gamua/Starling-Framework/commit/c424dec6182b548613cee7aa74a2240767fbea9a,0.11,iccheck -r ./repos/Gamua/Starling-Framework --from c424dec^ --to c424dec,"1 chunks changed, 6 chunks missing change",https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/filters/DisplacementMapFilter.as#L18,"https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/filters/FilterHelper.as#L20, https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/filters/FragmentFilter.as#L28, https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/display/Image.as#L18, https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/display/Mesh.as#L22, https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/display/MeshBatch.as#L18, https://github.com/Gamua/Starling-Framework/blob/c424dec6182b548613cee7aa74a2240767fbea9a/starling/src/starling/display/DisplayObject.as#L35",.as,ActionScript,,
exacity/deeplearningbook-chinese,ddb2333,https://github.com/exacity/deeplearningbook-chinese/commit/ddb233372ee5842cf7e80f0911d426d4f9c84aee,8.14,iccheck -r ./repos/exacity/deeplearningbook-chinese --from ddb2333^ --to ddb2333,"1 chunks changed, 1 chunks missing change",https://github.com/exacity/deeplearningbook-chinese/blob/ddb233372ee5842cf7e80f0911d426d4f9c84aee/docs/_posts/2016-12-20-Chapter20_deep_generative_models.md#L888,https://github.com/exacity/deeplearningbook-chinese/blob/ddb233372ee5842cf7e80f0911d426d4f9c84aee/Chapter20/deep_generative_models.tex#L883,".md, .tex",TeX,,
